"","Crime Type","Occurrence"
"1","BATTERY",1349
"2","THEFT",912
"3","CRIMINAL DAMAGE",762
"4","ASSAULT",509
"5","OTHER OFFENSE",459
"6","BURGLARY",398
"7","ROBBERY",294
"8","DECEPTIVE PRACTICE",281
"9","NARCOTICS",244
"10","MOTOR VEHICLE THEFT",223
"11","CRIMINAL TRESPASS",140
"12","WEAPONS VIOLATION",97
"13","OFFENSE INVOLVING CHILDREN",71
"14","PUBLIC PEACE VIOLATION",36
"15","CRIM SEXUAL ASSAULT",35
"16","INTERFERENCE WITH PUBLIC OFFICER",33
"17","HOMICIDE",19
"18","SEX OFFENSE",14
"19","ARSON",9
"20","KIDNAPPING",8
"21","GAMBLING",7
"22","STALKING",4
"23","LIQUOR LAW VIOLATION",2
"24","PROSTITUTION",2
"25","CONCEALED CARRY LICENSE VIOLATION",1
"26","INTIMIDATION",1
"27","PUBLIC INDECENCY",1
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OBSCENITY",0
"33","OTHER NARCOTIC VIOLATION",0
