"","Crime Type","Occurrence"
"1","BATTERY",1597
"2","THEFT",960
"3","CRIMINAL DAMAGE",762
"4","ASSAULT",599
"5","OTHER OFFENSE",521
"6","BURGLARY",439
"7","ROBBERY",336
"8","DECEPTIVE PRACTICE",269
"9","MOTOR VEHICLE THEFT",230
"10","NARCOTICS",206
"11","CRIMINAL TRESPASS",143
"12","WEAPONS VIOLATION",80
"13","OFFENSE INVOLVING CHILDREN",58
"14","PUBLIC PEACE VIOLATION",35
"15","CRIM SEXUAL ASSAULT",33
"16","INTERFERENCE WITH PUBLIC OFFICER",28
"17","HOMICIDE",16
"18","SEX OFFENSE",16
"19","ARSON",6
"20","GAMBLING",6
"21","INTIMIDATION",2
"22","KIDNAPPING",1
"23","LIQUOR LAW VIOLATION",1
"24","NON - CRIMINAL",1
"25","OBSCENITY",1
"26","PROSTITUTION",1
"27","STALKING",1
"28","CONCEALED CARRY LICENSE VIOLATION",0
"29","HUMAN TRAFFICKING",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
