"","Crime Type","Occurrence"
"1","THEFT",1466
"2","DECEPTIVE PRACTICE",362
"3","CRIMINAL DAMAGE",312
"4","BATTERY",280
"5","BURGLARY",216
"6","MOTOR VEHICLE THEFT",120
"7","ROBBERY",113
"8","OTHER OFFENSE",98
"9","ASSAULT",88
"10","CRIMINAL TRESPASS",86
"11","CRIM SEXUAL ASSAULT",26
"12","NARCOTICS",23
"13","PUBLIC PEACE VIOLATION",10
"14","LIQUOR LAW VIOLATION",8
"15","ARSON",7
"16","OFFENSE INVOLVING CHILDREN",7
"17","SEX OFFENSE",7
"18","WEAPONS VIOLATION",4
"19","STALKING",2
"20","INTERFERENCE WITH PUBLIC OFFICER",1
"21","INTIMIDATION",1
"22","KIDNAPPING",1
"23","CONCEALED CARRY LICENSE VIOLATION",0
"24","GAMBLING",0
"25","HOMICIDE",0
"26","HUMAN TRAFFICKING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
