"","Crime Type","Occurrence"
"1","THEFT",708
"2","BATTERY",587
"3","CRIMINAL DAMAGE",327
"4","ASSAULT",183
"5","OTHER OFFENSE",178
"6","DECEPTIVE PRACTICE",176
"7","BURGLARY",145
"8","ROBBERY",130
"9","CRIMINAL TRESPASS",108
"10","MOTOR VEHICLE THEFT",92
"11","NARCOTICS",77
"12","CRIM SEXUAL ASSAULT",28
"13","OFFENSE INVOLVING CHILDREN",27
"14","WEAPONS VIOLATION",24
"15","SEX OFFENSE",17
"16","PUBLIC PEACE VIOLATION",15
"17","INTERFERENCE WITH PUBLIC OFFICER",12
"18","PROSTITUTION",12
"19","HOMICIDE",4
"20","LIQUOR LAW VIOLATION",4
"21","ARSON",3
"22","INTIMIDATION",1
"23","KIDNAPPING",1
"24","PUBLIC INDECENCY",1
"25","STALKING",1
"26","CONCEALED CARRY LICENSE VIOLATION",0
"27","GAMBLING",0
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL",0
"31","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"32","OBSCENITY",0
"33","OTHER NARCOTIC VIOLATION",0
