"","Crime Type","Occurrence"
"1","THEFT",498
"2","BATTERY",368
"3","CRIMINAL DAMAGE",217
"4","ASSAULT",158
"5","DECEPTIVE PRACTICE",140
"6","OTHER OFFENSE",130
"7","ROBBERY",129
"8","MOTOR VEHICLE THEFT",80
"9","CRIMINAL TRESPASS",66
"10","NARCOTICS",64
"11","BURGLARY",35
"12","WEAPONS VIOLATION",20
"13","CRIM SEXUAL ASSAULT",11
"14","OFFENSE INVOLVING CHILDREN",11
"15","SEX OFFENSE",11
"16","PUBLIC PEACE VIOLATION",10
"17","HOMICIDE",4
"18","INTERFERENCE WITH PUBLIC OFFICER",4
"19","INTIMIDATION",4
"20","KIDNAPPING",2
"21","NON-CRIMINAL",2
"22","STALKING",1
"23","ARSON",0
"24","CONCEALED CARRY LICENSE VIOLATION",0
"25","GAMBLING",0
"26","HUMAN TRAFFICKING",0
"27","LIQUOR LAW VIOLATION",0
"28","NON - CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
