"","Crime Type","Occurrence"
"1","BATTERY",1173
"2","THEFT",769
"3","CRIMINAL DAMAGE",676
"4","ASSAULT",473
"5","OTHER OFFENSE",391
"6","BURGLARY",332
"7","NARCOTICS",285
"8","ROBBERY",242
"9","MOTOR VEHICLE THEFT",196
"10","DECEPTIVE PRACTICE",188
"11","CRIMINAL TRESPASS",158
"12","WEAPONS VIOLATION",108
"13","OFFENSE INVOLVING CHILDREN",46
"14","CRIM SEXUAL ASSAULT",41
"15","PUBLIC PEACE VIOLATION",33
"16","INTERFERENCE WITH PUBLIC OFFICER",30
"17","ARSON",21
"18","HOMICIDE",21
"19","PROSTITUTION",19
"20","SEX OFFENSE",13
"21","GAMBLING",5
"22","KIDNAPPING",4
"23","INTIMIDATION",1
"24","LIQUOR LAW VIOLATION",1
"25","CONCEALED CARRY LICENSE VIOLATION",0
"26","HUMAN TRAFFICKING",0
"27","NON - CRIMINAL",0
"28","NON-CRIMINAL",0
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PUBLIC INDECENCY",0
"33","STALKING",0
