"","Crime Type","Occurrence"
"1","BATTERY",1364
"2","THEFT",973
"3","NARCOTICS",792
"4","CRIMINAL DAMAGE",683
"5","ASSAULT",495
"6","OTHER OFFENSE",406
"7","MOTOR VEHICLE THEFT",292
"8","ROBBERY",282
"9","BURGLARY",230
"10","DECEPTIVE PRACTICE",189
"11","WEAPONS VIOLATION",112
"12","CRIMINAL TRESPASS",99
"13","PROSTITUTION",72
"14","OFFENSE INVOLVING CHILDREN",65
"15","PUBLIC PEACE VIOLATION",48
"16","INTERFERENCE WITH PUBLIC OFFICER",31
"17","CRIM SEXUAL ASSAULT",29
"18","HOMICIDE",21
"19","SEX OFFENSE",20
"20","ARSON",11
"21","GAMBLING",9
"22","INTIMIDATION",7
"23","KIDNAPPING",6
"24","LIQUOR LAW VIOLATION",2
"25","HUMAN TRAFFICKING",1
"26","NON - CRIMINAL",1
"27","PUBLIC INDECENCY",1
"28","CONCEALED CARRY LICENSE VIOLATION",0
"29","NON-CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OBSCENITY",0
"32","OTHER NARCOTIC VIOLATION",0
"33","STALKING",0
