"","Crime Type","Occurrence"
"1","THEFT",1635
"2","BATTERY",641
"3","DECEPTIVE PRACTICE",541
"4","CRIMINAL DAMAGE",467
"5","BURGLARY",351
"6","ROBBERY",212
"7","MOTOR VEHICLE THEFT",170
"8","OTHER OFFENSE",166
"9","ASSAULT",157
"10","CRIMINAL TRESPASS",152
"11","NARCOTICS",48
"12","PUBLIC PEACE VIOLATION",29
"13","CRIM SEXUAL ASSAULT",28
"14","WEAPONS VIOLATION",19
"15","SEX OFFENSE",18
"16","OFFENSE INVOLVING CHILDREN",14
"17","INTERFERENCE WITH PUBLIC OFFICER",8
"18","LIQUOR LAW VIOLATION",8
"19","ARSON",3
"20","KIDNAPPING",2
"21","NON-CRIMINAL",2
"22","OTHER NARCOTIC VIOLATION",2
"23","PROSTITUTION",2
"24","HOMICIDE",1
"25","OBSCENITY",1
"26","STALKING",1
"27","CONCEALED CARRY LICENSE VIOLATION",0
"28","GAMBLING",0
"29","HUMAN TRAFFICKING",0
"30","INTIMIDATION",0
"31","NON - CRIMINAL",0
"32","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"33","PUBLIC INDECENCY",0
