"","Crime Type","Occurrence"
"1","BATTERY",1279
"2","THEFT",817
"3","CRIMINAL DAMAGE",628
"4","ASSAULT",441
"5","OTHER OFFENSE",387
"6","ROBBERY",301
"7","BURGLARY",264
"8","NARCOTICS",206
"9","DECEPTIVE PRACTICE",195
"10","MOTOR VEHICLE THEFT",172
"11","CRIMINAL TRESPASS",141
"12","WEAPONS VIOLATION",84
"13","OFFENSE INVOLVING CHILDREN",68
"14","CRIM SEXUAL ASSAULT",32
"15","HOMICIDE",26
"16","INTERFERENCE WITH PUBLIC OFFICER",25
"17","PUBLIC PEACE VIOLATION",25
"18","SEX OFFENSE",14
"19","ARSON",11
"20","STALKING",6
"21","KIDNAPPING",3
"22","GAMBLING",2
"23","LIQUOR LAW VIOLATION",2
"24","CONCEALED CARRY LICENSE VIOLATION",1
"25","INTIMIDATION",1
"26","NON-CRIMINAL",1
"27","PROSTITUTION",1
"28","HUMAN TRAFFICKING",0
"29","NON - CRIMINAL",0
"30","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"31","OBSCENITY",0
"32","OTHER NARCOTIC VIOLATION",0
"33","PUBLIC INDECENCY",0
